date,ache+pain,dengue,fever,headache,vomiting,nausea,rashes,eye pain,ache+pain-norm,dengue-norm,fever-norm,headache-norm,vomiting-norm,nausea-norm,rashes-norm,eye pain-norm
2004-01-03,156.24,9.0,110.80000000000001,17.28,0.0,0.0,0.0,0.0,0.25128262862473266,0.018867924528301886,0.21230120712780223,0.031761786600496285,0.0,0.0,0.0,0.0
2004-01-10,90.72000000000001,13.14,120.0,0.0,82.0,0.0,0.0,0.0,0.14590604242726413,0.027547169811320757,0.2299291051925656,0.0,0.16722408026755853,0.0,0.0,0.0
2004-01-17,105.83999999999999,0.0,72.80000000000001,0.0,0.0,0.0,112.69999999999999,0.0,0.17022371616514143,0.0,0.13949032381682314,0.0,0.0,0.0,0.2561363636363636,0.0
2004-01-24,66.36,0.0,63.2,16.08,0.0,0.0,0.0,0.0,0.10672756807179504,0.0,0.12109599540141788,0.029556106975461814,0.0,0.0,0.0,0.0
2004-01-31,49.84,0.0,70.08,74.4,0.0,48.0,0.0,0.0,0.08015825787670683,0.0,0.1342785974324583,0.13675213675213677,0.0,0.10031347962382445,0.0,0.0
2004-02-07,23.520000000000003,23.7,111.36,0.0,0.0,36.48,0.0,0.0,0.037827492481142554,0.049685534591194964,0.21337420961870085,0.0,0.0,0.07623824451410657,0.0,0.0
2004-02-14,23.240000000000002,11.600000000000001,116.16,0.0,0.0,0.0,0.0,0.0,0.03737716518970038,0.024318658280922435,0.2225713738264035,0.0,0.0,0.0,0.0,0.0
2004-02-21,45.64,9.100000000000001,88.32,0.0,0.0,0.0,0.0,0.0,0.07340334850507423,0.01907756813417191,0.16922782142172826,0.0,0.0,0.0,0.0,0.0
2004-02-28,141.12,6.44,162.66,66.0,0.0,0.0,0.0,0.0,0.22696495488685528,0.013501048218029351,0.31166890208852266,0.12131237937689551,0.0,0.0,0.0,0.0
2004-03-06,48.599999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07816395130032004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-03-13,96.11999999999999,21.28,42.839999999999996,149.16,0.0,61.0,52.0,0.0,0.15459092590507742,0.04461215932914046,0.08208469055374591,0.27416597739178383,0.0,0.12748171368861025,0.11818181818181818,0.0
2004-03-20,54.36,23.1,65.1,0.0,0.0,0.0,0.0,0.0,0.08742782700998762,0.048427672955974846,0.12473653956696681,0.0,0.0,0.0,0.0,0.0
2004-03-27,103.84,18.240000000000002,78.89999999999999,31.020000000000003,0.0,0.0,0.0,0.0,0.16700709265484023,0.03823899371069183,0.15117838666411185,0.0570168183071409,0.0,0.0,0.0,0.0
2004-04-03,61.2,3.12,87.02000000000001,29.759999999999998,0.0,0.0,54.87,0.0,0.09842867941521785,0.006540880503144654,0.16673692278214217,0.0547008547008547,0.0,0.0,0.12470454545454544,0.0
2004-04-10,37.2,3.3,88.53999999999999,0.0,0.0,47.0,0.0,0.0,0.05982919729160301,0.006918238993710691,0.1696493581145813,0.0,0.0,0.09822361546499478,0.0,0.0
2004-04-17,128.8,13.98,39.14,31.0,0.0,0.0,94.99,0.0,0.20715055406339966,0.02930817610062893,0.07499520981030848,0.05698005698005699,0.0,0.0,0.21588636363636363,0.0
2004-04-24,114.4,2.76,37.239999999999995,25.419999999999998,0.0,0.0,0.0,0.0,0.18399086478923077,0.0057861635220125785,0.07135466564475951,0.046723646723646726,0.0,0.0,0.0,0.0
2004-05-01,109.47,11.34,121.26000000000002,0.0,0.0,0.0,0.0,0.0,0.1760618878363382,0.023773584905660377,0.23234336079708756,0.0,0.0,0.0,0.0,0.0
2004-05-08,96.75999999999999,0.0,0.0,43.92,0.0,81.0,18.2,0.0,0.15562024542837383,0.0,0.0,0.08072787427626138,0.0,0.16927899686520376,0.04136363636363636,0.0
2004-05-15,71.33999999999999,15.66,60.2,0.0,0.0,76.95,35.0,0.0,0.11473696061244511,0.03283018867924528,0.11534776777160374,0.0,0.0,0.16081504702194357,0.07954545454545454,0.0
2004-05-22,37.72,9.18,79.12,0.0,0.0,0.0,0.0,0.0,0.060665519404281325,0.019245283018867923,0.15159992335696493,0.0,0.0,0.0,0.0,0.0
2004-05-29,109.06,9.0,133.87,0.0,0.0,0.0,0.0,0.0,0.17540248001672645,0.018867924528301886,0.25650507760107294,0.0,0.0,0.0,0.0,0.0
2004-06-05,72.57,9.13,77.22000000000001,0.0,0.0,86.80000000000001,45.36,0.0,0.11671518407128037,0.019140461215932915,0.14795937919141597,0.0,0.0,0.1814002089864159,0.1030909090909091,0.0
2004-06-12,64.36999999999999,9.13,91.41,0.0,0.0,24.400000000000002,174.96,0.0,0.1035270276790453,0.019140461215932915,0.17514849588043682,0.0,0.0,0.050992685475444104,0.3976363636363637,0.0
2004-06-19,46.33,15.18,87.78,18.0,0.0,0.0,45.36,0.0,0.07451308361612816,0.031823899371069185,0.16819314044836173,0.033085194375516956,0.0,0.0,0.1030909090909091,0.0
2004-06-26,99.63,6.11,56.690000000000005,0.0,0.0,37.44,68.0,0.0,0.16023610016565612,0.012809224318658281,0.1086223414447212,0.0,0.0,0.07824451410658306,0.15454545454545454,0.0
2004-07-03,155.39,19.63,108.10000000000001,55.65,0.0,36.27,62.56,0.0,0.24991556363285458,0.04115303983228511,0.20712780226096952,0.10228839261097326,0.0,0.07579937304075236,0.1421818181818182,0.0
2004-07-10,118.08,27.43,138.0,23.099999999999998,0.0,0.0,62.56,0.0,0.18990945204818502,0.05750524109014675,0.26441847097145044,0.042459332781913425,0.0,0.0,0.1421818181818182,0.0
